Site,Windspeed
1,0
2,0
3,0
4,5
5,0
6,6
7,9
8,1
9,7
10,10
11,8
12,0
13,0
14,5
15,0
16,6
17,0
18,4
19,1
20,5
21,5
22,0
23,0
24,0
25,0
26,7
27,6
28,1
29,6
30,1
31,5
32,5
33,9
34,10
35,0
36,0
37,2
38,4
39,7
40,0
